GSM15785.cel.gz	GSM15786.cel.gz	GSM15787.cel.gz	GSM15788.cel.gz	GSM15789.cel.gz	GSM15790.cel.gz	GSM15791.cel.gz	GSM15792.cel.gz	GSM15794.cel.gz	GSM15795.cel.gz
200006_at	2.66286064	2.86183213	2.733673	2.90142851	2.81051521	2.63994106	2.81437136	2.90199075	2.79571527	2.82241092
200007_at	2.81850914	2.77084183	2.81331381	2.99284503	2.84689386	2.56845604	2.73529495	2.80372926	2.65738262	2.92351699
200008_s_at	0.65194914	1.67992479	1.24608817	0.77461492	1.30821917	1.4273653	1.16134897	1.09128393	1.35745017	0.86086587
200009_at	2.41611535	2.50196386	2.45546502	2.47326774	2.49541209	2.34718297	2.44897294	2.49806291	2.41516133	2.49860069
200010_at	2.79029718	2.88752936	2.96960823	3.00483173	3.06455305	2.68094585	2.89432705	3.0344743	2.86795953	3.08612896
200011_s_at	1.5528551	1.52707658	1.49071281	1.26484758	1.32252793	1.58724246	1.57664406	1.60083203	1.58846157	1.40270664
200012_x_at	3.34314264	3.37545366	3.381731	3.75069584	3.46951288	3.0927811	3.40711154	3.63470719	3.21947748	3.61368514
200013_at	3.096106	3.39597837	3.11337526	3.36618409	3.27182436	2.89262192	3.28230812	3.35097136	3.05170878	3.28478535
200014_s_at	2.29487016	2.52813721	2.37013012	2.33125639	2.32066411	2.4145974	2.50629309	2.53414851	2.48945354	2.34594483
200015_s_at	2.55532959	2.42636159	2.53384886	2.52661861	2.40333793	2.38915152	2.44080044	2.55600978	2.48397655	2.45692862
200016_x_at	3.3748053	3.422951	3.35899649	3.80209812	3.58858408	2.99912069	3.49245253	3.53983747	3.24792456	3.6324893
200017_at	2.8945194	3.04433298	2.86840215	3.24457679	3.03064225	2.65967243	2.95947923	3.0624273	2.78468673	3.10872408
200018_at	3.48482302	3.68769596	3.48446571	3.96237087	3.67075324	3.17685109	3.6260259	3.89253335	3.35450347	3.84899788
200019_s_at	3.09803119	3.22007048	3.006014	3.37269309	3.13253042	2.85898753	3.16612526	3.13414903	2.98583884	3.1526395
200020_at	2.08259971	2.1601028	2.13982735	2.20491029	2.20477692	2.17762258	2.19047817	2.2141451	2.20099208	2.21876307
200021_at	3.15552947	3.42700136	3.11710199	3.48966543	3.29084617	2.89282775	3.34498743	3.48700013	3.04089902	3.46393338
200022_at	2.91740923	3.08082179	2.91798428	3.08003049	3.02088383	2.790124	3.01985922	3.11845548	2.89063355	3.08195152
200023_s_at	2.45708406	2.6783364	2.54617853	2.55547698	2.56637407	2.5295121	2.63790767	2.61454295	2.53303172	2.58319256
200024_at	2.86594278	3.09749945	2.8671525	3.00553273	3.02592353	2.75603342	3.05696956	3.07296595	2.82798967	2.9974351
200025_s_at	3.06430969	3.56508761	2.99611114	3.41341957	3.14292884	2.77368825	3.122567	3.70995818	2.89096148	3.35765887
200026_at	2.96418446	2.82385468	2.87538193	3.19062587	2.9404887	2.59550298	2.86439161	2.96620508	2.76953373	3.11004188
200027_at	1.99555675	2.08910335	1.92818375	2.00307825	1.88507536	2.13737869	2.09033257	2.08521787	2.21335694	1.85027555
200028_s_at	2.29591338	2.23291361	2.31525954	2.35417662	2.36545063	2.25770178	2.35114324	2.29737438	2.29287901	2.35279388
200029_at	3.12966138	3.27892586	3.13584657	3.42812313	3.23628345	2.94428831	3.21567756	3.37035081	2.99565426	3.30751242
200030_s_at	2.82191555	3.11545731	2.93824509	2.93205247	3.07610894	2.78323891	3.03522575	3.05331221	2.86183019	2.9804553
200031_s_at	3.48261575	3.50942375	3.41062966	3.80371283	3.58746455	3.11175095	3.47787407	3.65449769	3.25217062	3.62270195
200032_s_at	3.49936951	3.42408686	3.52539056	3.91991302	3.69088069	3.15316347	3.4629853	3.6192321	3.29969083	3.80788547
200033_at	2.46894156	2.50567856	2.52088423	2.45188311	2.53006563	2.36108083	2.42394799	2.40288237	2.36023204	2.48153607
200034_s_at	2.94710634	3.19627037	2.97924672	3.27042834	3.16273229	2.77332241	3.13060164	2.76802026	2.95310981	3.17141606
200035_at	1.69047393	1.54417507	1.59350881	1.63057325	1.50707148	1.65445004	1.73520974	1.5416563	1.71333283	1.67115576
200036_s_at	2.94888752	3.08457166	3.0110706	3.06477367	3.18805231	2.83703035	2.89566148	3.01319776	2.90470135	3.01087899
200037_s_at	2.16849916	2.28412745	2.43269619	2.46616568	2.28094429	2.00951708	2.35520339	2.40831085	2.12524067	2.40745707
200038_s_at	3.12859941	3.21198214	3.14175128	3.32726829	3.36200356	2.96422496	3.13630599	3.31372233	3.02880556	3.31432248
200039_s_at	2.11039608	2.28563533	2.08544482	1.99420467	2.01219341	2.27070381	2.34955576	2.39072464	2.27235554	2.05351453
200040_at	2.33673101	2.44980361	2.48841275	2.49823076	2.36695944	2.44348157	2.53033697	2.56659041	2.44985242	2.33737879
200041_s_at	2.80480487	2.95567696	2.75954629	2.85493273	2.73048123	2.70074505	2.98538187	3.01219399	2.82279805	3.04711193
200042_at	1.62341676	1.91721964	1.68709294	1.59252256	1.68780647	1.81879719	1.79403064	1.75195565	1.82918543	1.56016614
200043_at	2.69408963	2.93179633	2.5968922	2.80729345	2.71057862	2.60468625	2.85616346	2.99591053	2.7289977	2.75767783
200044_at	2.10999074	2.24077774	2.14925656	2.22235469	2.19975385	2.22134278	2.29337594	2.234526	2.26074789	2.20557449
200045_at	2.13232131	2.17623762	2.09052999	2.09746545	2.16998724	2.15242238	2.22779007	2.18999202	2.13754112	2.16123074
200046_at	1.7268812	1.86020693	1.88323344	1.65896551	1.8922064	1.86746571	1.81032544	1.70528198	1.78410166	1.79650226
200047_s_at	2.47742874	2.66345157	2.53676873	2.63860193	2.44557955	2.41455134	2.61390333	2.65393374	2.54526157	2.62711294
200048_s_at	2.71815179	2.89124843	2.68376779	2.62165003	2.81855593	2.64826574	2.76533883	2.7789791	2.70570729	2.77266714
200049_at	1.34356425	1.3567215	1.30378879	1.12574964	1.20539472	1.44618752	1.46604801	1.38360623	1.37460938	1.23886457
200050_at	1.65439368	1.84583412	1.80648484	1.91288659	1.87060296	1.7702776	1.85889766	1.76297679	1.84099019	1.83529305
200051_at	1.28103639	1.04066792	1.15990527	1.0098733	1.03792068	1.36167401	1.18613628	0.98488043	1.40783514	0.97486631
200052_s_at	2.72343506	3.01085696	2.81623688	2.71302134	2.9286976	2.74004107	2.88157793	2.82853459	2.80767968	2.70536521
200053_at	1.46821371	1.46190936	1.3874701	1.31767235	1.35015123	1.50430152	1.39089635	1.39216616	1.48182219	1.33217624
200054_at	1.14438562	0.97815661	1.12579468	1.10483896	1.09989864	1.06376844	0.9801336	0.87950664	1.10119686	1.01355979
200055_at	1.99187141	1.84939783	1.83165383	1.93313086	1.83434498	1.90584031	1.90174754	1.87703356	1.87305723	2.04537676
200056_s_at	0.71996995	1.20193632	0.86388627	0.9322744	0.94699471	0.92837821	1.21725941	1.04544623	0.9808332	0.80610843
200057_s_at	2.66894051	2.77542635	2.68789547	2.80484114	2.74341618	2.55846264	2.78925323	2.76499723	2.65571977	2.78120967
200058_s_at	1.92574264	2.07638545	1.94522814	2.00914406	1.91921678	1.9514722	2.10961127	2.02051693	1.96453184	1.97942172
200059_s_at	2.19466822	2.6487694	2.43762275	2.2531824	2.56453937	2.34709603	2.48479989	2.52491122	2.40912422	2.45114228
200060_s_at	2.16778532	2.13918341	2.07706936	2.03939803	2.17044792	2.07917491	2.15095449	2.00238758	2.15749338	2.0204004
200061_s_at	3.55634487	3.51120762	3.53669492	3.94879108	3.68201563	3.12646738	3.52336298	3.69728128	3.33342109	3.84666583
200062_s_at	3.47408943	3.52285811	3.44437498	3.83888307	3.63363296	3.12710943	3.53345755	3.60340157	3.30220218	3.66907991
200063_s_at	3.27851636	3.59737061	3.37331872	3.75767382	3.60496911	3.03058821	3.48958943	3.7749337	3.20906762	3.57362409
200064_at	3.20009803	3.5089757	3.31163709	3.52499359	3.63014227	3.07270675	3.47723113	3.54422813	3.20163736	3.47477712
200065_s_at	2.36984503	2.32406336	2.41157694	2.41390663	2.54841399	2.2285784	2.27515273	2.2574224	2.22865779	2.49255601
200066_at	1.12897403	1.1993779	1.20975692	1.05734174	1.15742099	1.29680122	1.13102876	1.03658289	1.33600752	1.01571187
200067_x_at	1.74381803	1.73570578	1.72526341	1.67749696	1.67690179	1.80275028	1.82004541	1.69587884	1.79802385	1.62921688
200068_s_at	2.56809693	2.84335487	2.57047923	2.69780219	2.72256176	2.53031443	2.76528824	2.83523951	2.60667588	2.70211399
200069_at	0.94177494	0.79872002	0.91311476	0.88873996	0.71818681	0.99721588	0.87765275	0.72630125	1.02816069	0.81153886
200070_at	0.71355417	0.40599613	0.57028	0.52467284	0.34286215	0.71522635	0.6357591	0.57650858	0.67710135	0.56226828
200071_at	1.57290675	1.38815923	1.58723888	1.44998257	1.32883051	1.66332413	1.6458319	1.2591467	1.7440535	1.28182926
200072_s_at	1.97840328	2.34213379	2.10356677	1.9977697	2.15252097	2.09538608	2.23284896	2.09981774	2.21747002	2.00643531
200073_s_at	2.36095871	2.3706642	2.36155415	2.54503244	2.48429754	2.20427764	2.43425464	2.32801286	2.3624591	2.39297784
200074_s_at	2.84659245	2.94232781	2.94207428	2.98792969	3.02536329	2.75265482	2.91553222	2.97997275	2.8155675	3.06062628
200075_s_at	1.16312206	0.99813752	0.9389409	0.80641432	0.86924089	1.09209927	1.03688203	0.90662328	1.05486459	0.83234289
200076_s_at	1.12644361	1.00524399	1.04204796	1.01885927	1.01558607	1.18282202	1.04087665	0.96638874	1.14791878	0.95166051
200077_s_at	2.85003222	3.02256336	2.89959322	3.17903177	2.93361314	2.73306389	3.02684478	3.09333537	2.89678796	3.0728292
200078_s_at	1.87810416	1.62664369	1.70594947	1.70445898	1.74304527	1.67607373	1.65136503	1.38909026	1.66078648	1.63551283
200079_s_at	1.88501405	2.37246503	1.95677922	1.78764823	2.05065832	2.11571868	2.15309702	2.12721637	2.09611886	1.91498929
200080_s_at	2.61896206	2.39817131	2.56385641	2.66288555	2.60383683	2.32934544	2.46321115	2.76929901	2.54894258	2.73552905
200081_s_at	3.16733698	3.54449272	3.30034023	3.55177294	3.50166812	3.02485206	3.39897374	3.43612831	3.15295713	3.47325242
200082_s_at	2.98269704	3.14840145	3.10081991	3.08630041	3.17387764	2.79012519	3.00231882	3.06331435	2.93657911	3.13972245
200083_at	2.16376537	1.96850198	2.08797022	2.14155933	2.04418588	1.99628499	2.02844452	1.98841959	2.0814898	2.11303718
200084_at	2.36180278	2.55798763	2.42103828	2.45339792	2.61271638	2.33578593	2.50722149	2.49206672	2.41153203	2.43797633
200085_s_at	2.26954435	2.02728635	2.12698875	2.3159067	2.09676444	2.07643344	2.02786743	1.92037506	2.14601034	2.02541935
200086_s_at	2.39443039	2.26178691	2.30012279	2.05086265	2.31423301	2.24266564	2.12938852	2.13293119	2.27010413	2.3861506
200087_s_at	2.40526498	2.52979293	2.32075127	2.4054724	2.46448459	2.34835058	2.5220099	2.56129877	2.46757768	2.41120507
200088_x_at	3.49372287	3.53377766	3.41869636	3.82907679	3.67808304	3.12911462	3.55869051	3.6222182	3.28503907	3.66445178
200089_s_at	3.17444343	3.34744621	3.26145059	3.71713528	3.42471809	2.96608604	3.31751467	3.18612886	3.09862585	3.51620643
200090_at	1.67325013	1.43908643	1.65309861	1.59703207	1.50836983	1.61666923	1.56272121	1.45314876	1.64420212	1.56525505
200091_s_at	3.26454078	3.42173012	3.22748849	3.63891596	3.4771586	2.86994745	3.19040401	3.24577056	2.96524163	3.45081108
200092_s_at	3.49770399	3.47897744	3.40256445	3.85132453	3.63309283	3.10442477	3.47810974	3.51739103	3.26918777	3.75811627
200093_s_at	2.33805979	2.39455787	2.23942466	2.29727721	2.37527243	2.21668864	2.33365659	2.30793171	2.34484563	2.2732542
200094_s_at	2.97885301	3.25255523	3.0843126	3.44104805	3.18425356	2.86489024	3.26906787	3.35653965	2.95938453	3.3038079
200095_x_at	3.84051496	3.88146688	3.77985755	4.35525859	4.05364093	3.30667722	3.92498375	4.14281465	3.59209405	4.22438173
200096_s_at	1.79515903	1.97693569	1.81565551	1.66527098	1.86066119	1.95205644	1.89977518	1.82269669	1.79128489	1.72214127
200097_s_at	2.17937601	2.17815009	2.54082963	2.27453634	2.24996234	2.27019132	2.14394823	2.22371502	2.13749216	2.39046721
200098_s_at	1.99405321	1.93459033	1.90727163	1.8346972	1.87499572	1.93558528	1.91771581	1.88682472	1.97721182	1.88114914
200099_s_at	2.97076861	3.8185389	3.46597923	3.99955393	3.80304993	3.11842249	3.55253502	3.76365056	3.24707422	3.91686567
200593_s_at	1.4922175	2.13866066	1.71785964	1.60738273	1.83561664	1.93005252	1.88866109	1.85509514	2.00674646	1.69527493
200594_x_at	2.57034231	2.69205912	2.68141392	2.89068108	2.82420025	2.53933218	2.7772058	2.67251006	2.6581339	2.78954598
200595_s_at	2.08146162	1.81498452	2.10545996	2.04001877	2.13414931	2.0094239	1.92572289	1.85200454	2.1540886	1.86102091
200596_s_at	1.82937425	1.80340536	1.9349963	2.06475834	2.08434582	1.83545994	1.89871665	1.81884044	1.91409289	2.02467573
200597_at	0.90112521	0.67027589	0.86208296	0.71238025	0.83039944	0.9464149	0.79545955	0.53935982	0.90363723	0.73932966
200598_s_at	1.97019136	2.11813665	2.07637037	2.22030974	2.03335971	1.93306418	1.95339385	1.86990821	2.04135746	2.08277371
200599_s_at	2.20869619	2.34926852	2.25452704	2.25825843	2.37637826	1.85322553	2.26410346	2.25879387	2.21306486	2.37794983
200600_at	2.04262409	2.19117802	2.05465992	2.04632616	2.16566764	2.16406513	2.33154167	2.17662976	2.20114308	2.07727942
200601_at	2.02447767	1.74275754	1.75869824	1.92929064	1.8778525	1.7686848	1.91498971	1.83166914	1.79060351	2.11919282
200602_at	2.04608106	1.82252029	1.92577412	2.19024659	1.80865746	1.91270416	1.99129865	1.92753576	1.98771988	2.01292322
200603_at	1.95697718	1.5770486	1.98118076	1.62561176	1.71727293	1.86592073	1.6294632	1.72760794	1.97466519	1.63939862
200604_s_at	0.5354039	0.9623566	0.6787634	0.45984902	0.64492252	0.92966049	0.66482717	0.53234486	0.90561834	0.54544964
200605_s_at	1.3477548	1.85175838	1.66080529	1.29191142	1.77315545	1.73107301	1.63550845	1.56681329	1.66985227	1.43369013
200606_at	1.01473877	0.87757557	1.06380411	0.8961296	0.99748825	0.9349061	0.88053721	0.77664133	0.8964869	0.94435821
200607_s_at	0.80285305	1.30900319	1.10972302	0.91365969	0.86605679	1.32590554	1.08138272	1.04878288	1.37365504	0.92567148
200608_s_at	1.73616764	1.76881653	1.89346797	1.82708018	1.8089836	1.85647878	2.05145593	1.69918393	1.98542653	1.81940311
200609_s_at	1.81762045	1.97818771	1.88268916	1.71564552	1.97218726	1.90393389	1.90095283	1.81605141	1.83591917	1.90286497
200610_s_at	2.56677055	2.80490105	2.76851377	2.92213582	2.81711183	2.53631042	2.814963	2.93126424	2.71025821	2.91756748
200611_s_at	1.73562225	1.9396027	1.80741502	1.64961877	1.91523025	1.79151493	1.77050077	1.60563251	1.8491889	1.69140444
200612_s_at	0.69422378	0.68561906	0.57882871	0.54334601	0.58507611	0.89949943	0.75534801	0.63854239	0.81402341	0.59569091
200613_at	1.96856291	2.13956985	1.96381478	1.87766708	1.98459303	2.09073964	2.05226057	1.99334681	2.06798273	1.99583465
200614_at	2.53601682	2.67366955	2.62286388	2.63366183	2.71267034	2.57683889	2.62816283	2.68764246	2.5579536	2.62070434
200615_s_at	0.51265283	0.62152477	0.52196974	0.32487081	0.5305306	0.73537601	0.60310932	0.40565248	0.68076108	0.3663271
200616_s_at	1.84978006	1.44709353	1.85200333	1.9437535	1.74267442	1.77529869	1.72982073	1.55240331	1.75023326	1.87236059
200617_at	1.47144559	1.34916317	1.45586279	1.36593071	1.51887842	1.46332868	1.31696813	1.25005487	1.37150484	1.43870588
200618_at	2.19372596	2.34966025	2.13257128	2.24930465	2.20747065	2.16652279	2.36513816	2.3085021	2.18644017	2.13630951
200619_at	2.14652764	2.11322862	2.15951625	2.21640883	2.10796498	2.18965368	2.23411461	2.15406101	2.2059281	2.1046297
200620_at	0.9643088	0.99440403	1.05906422	0.79123316	0.94776626	1.11374378	0.96271267	0.83106518	1.10747996	0.82537794
200621_at	1.86758969	1.73116755	1.80546615	1.66638603	1.78891031	1.78488766	1.7083296	1.56673512	1.76633701	1.76991856
200622_x_at	0.53985515	0.80251203	0.57580763	0.40352494	0.48131264	0.84278861	0.56764952	0.47516411	0.75442391	0.4138925
200623_s_at	1.01105398	1.14011137	0.76436292	0.80105172	0.7680463	1.1715021	1.19743422	0.98129095	1.10861485	1.0245016
200624_s_at	1.30580451	1.96228854	1.6743086	1.33106032	1.73572922	1.69192651	1.70324289	1.62739169	1.72477818	1.37547961
200625_s_at	2.23868922	2.36180112	2.34834336	2.41551744	2.37862179	2.23061912	2.39481759	2.34773028	2.33584781	2.45268105
200626_s_at	1.79991988	2.03066082	2.00794687	1.8438879	1.93316172	1.91500059	2.01381028	1.97472652	2.03580293	1.87504036
200627_at	2.61587013	2.72391995	2.7040664	2.64662839	2.65367283	2.59304977	2.7149546	2.87452078	2.71249056	2.65479114
200628_s_at	1.08208091	1.18206234	1.36678346	1.06407009	1.34524852	1.20136242	1.13407379	1.03426951	1.33459212	1.25424778
200629_at	1.9066108	1.56235029	1.89126419	1.87200162	1.82962001	1.63965758	1.68411027	1.55398275	1.82476045	1.89344753
200630_x_at	2.88333226	2.68271295	2.78406018	3.12876266	2.80337678	2.63089711	2.96481371	3.04166347	2.75026731	3.09285444
200631_s_at	2.96244447	2.97082845	2.97120925	3.10313481	3.04982417	2.77171243	2.96947074	3.00925895	2.80610068	3.00077534
200632_s_at	0.96853465	0.72197276	0.99049251	0.846683	0.82282829	0.85943025	0.71027956	0.6707343	0.79308918	0.97142944
200633_at	3.51318369	3.77528615	3.51223251	3.97637884	3.7195011	3.28811049	3.71211068	4.07041387	3.37229396	3.77478212
200634_at	3.0098312	3.12582526	2.95741045	3.14394209	3.1083865	2.79628207	3.12315721	3.24961795	2.90659503	3.19955312
200635_s_at	0.76014256	0.94925963	0.83965466	0.81520925	0.75864674	1.07062223	0.92888542	0.86823655	1.03611569	0.79620493
200636_s_at	1.54874117	1.59916739	1.48779384	1.44460738	1.46364932	1.71128344	1.65180507	1.50761381	1.64715214	1.51464098
200637_s_at	0.13772685	0.68125399	0.4382867	0.16970054	0.41657035	0.81043877	0.47461146	0.34783412	0.67677424	0.21789004
200638_s_at	1.96729565	2.42623916	2.2183791	1.92337268	2.20689354	2.21795801	2.20731561	2.08683123	2.19928407	1.99441717
200639_s_at	2.56829165	2.55621468	2.46640832	2.52884968	2.45534835	2.37154291	2.61494612	2.9184989	2.37325232	2.69601354
200640_at	2.4142327	2.61139169	2.53853622	2.39799128	2.59612194	2.40176009	2.53442244	2.51863101	2.42825788	2.51377562
200641_s_at	0.68205856	1.8317839	1.4334769	0.90370738	1.48656079	1.63778824	1.2818858	1.13703933	1.56833527	1.00836168
200642_at	2.23588292	2.42484458	2.24774099	2.16188728	2.27111762	2.32813746	2.30950091	2.39190296	2.39710604	2.27010478
200643_at	1.53209149	1.55362116	1.53797184	1.26808839	1.4797765	1.58762241	1.54174918	1.53442233	1.47082669	1.47898577
200644_at	1.67746863	1.19565543	1.57388545	1.46592181	1.5918909	1.36860333	1.50498496	1.16510832	1.43313774	1.52816942
200645_at	2.12744549	2.05515642	2.02314925	1.95317308	2.00163511	2.02625616	2.06234328	1.99466496	1.8940409	1.98576953
200646_s_at	0.09693005	0.17300999	0.18184423	-0.04408127	0.21652559	0.29605181	0.10021975	0.04162602	0.21398108	0.09181755
200647_x_at	2.44272612	2.57838624	2.43129355	2.44664792	2.49749379	2.37565415	2.49241862	2.52578067	2.35417514	2.46317192
200648_s_at	-0.00248663	0.13799854	0.10768155	-0.04869784	0.09089445	0.08878491	0.01324855	-0.00408011	0.09758251	0.05298684
200649_at	1.01321302	0.79969616	0.88893473	0.79780664	0.81339416	0.94253737	0.8285999	0.82169456	0.87071944	0.92151043
200650_s_at	3.29689988	3.44547195	3.25032432	3.62927884	3.44403318	3.06201086	3.46365124	3.63207786	3.19473526	3.48378872
200651_at	3.18788287	3.25751976	3.2376501	3.45451504	3.45899958	2.93401227	3.19425433	3.22624774	3.07502393	3.37126061
200652_at	1.32118186	1.27190688	1.24889302	1.15128254	1.19316632	1.37296554	1.26247115	1.16587718	1.34553446	1.14765647
200653_s_at	2.01259	1.77560252	1.94351131	1.99135397	1.89048605	2.03906469	2.02022049	1.85877606	2.04499094	1.99034009
200654_at	1.59070891	1.61426379	1.47861058	1.58651575	1.66155447	1.45287371	1.60589743	1.46733189	1.49418138	1.55128414
200655_s_at	2.34498743	2.48376883	2.26587188	2.35359972	2.29800055	2.36857917	2.59033032	2.5366693	2.44435618	2.43494389
200656_s_at	1.59571328	2.19033597	1.94362633	1.61483069	2.07692644	1.97223784	1.83219635	1.78855961	1.91422713	1.87637961
200657_at	2.76756905	2.92076237	2.84723256	3.03905281	2.9310282	2.74530606	2.92328329	2.99421524	2.81620066	2.95506989
200658_s_at	1.58137356	1.9348287	1.70611719	1.53951911	1.67860424	1.84287178	1.73409941	1.60433335	1.86183917	1.55789382
200659_s_at	1.57595511	1.68135085	1.44618343	1.50690402	1.56151846	1.61983795	1.64079131	1.52778392	1.63998861	1.47467569
200660_at	2.2829056	1.97046868	2.2226457	2.31266602	2.2493129	1.95680959	2.09992623	2.07151456	1.98367209	2.43185849
200661_at	1.89552254	1.86454049	1.84488959	1.75966082	1.80784339	1.93094291	1.82754462	1.74110075	1.6812935	1.78579407
200662_s_at	2.04436389	1.95846815	2.12562651	1.99762219	2.17758938	1.96735097	1.92851157	1.7660486	1.96624857	1.92826055
200663_at	2.80440365	2.61200589	2.76661701	2.93250757	2.77762565	2.53723977	2.71757336	2.84158882	2.51639979	2.86309839
200664_s_at	0.08208616	0.47792246	0.27098317	0.01249495	0.23283341	0.39305933	0.23658676	0.28534488	0.38371798	0.10597187
200665_s_at	2.92578776	2.37551221	2.78720531	2.57510024	2.58564224	2.39178488	2.2603483	2.24487483	2.43368544	2.58961844
200666_s_at	1.01244891	0.91222073	0.98445479	0.67337847	0.88211711	0.98661645	0.78865018	0.78521447	1.02821604	0.73604342
200667_at	1.86205766	1.763205	1.92922749	1.86539239	1.80302972	1.86201825	1.83323833	1.76243625	1.90455985	1.70997798
200668_s_at	2.05263545	2.25592505	2.28550526	2.19220039	2.23783862	2.23148952	2.29538886	2.16082201	2.29435359	2.1088121
200669_s_at	1.38057721	1.80550739	1.62163872	1.31276554	1.59307508	1.68743175	1.64984841	1.51285925	1.72517865	1.31537456
200670_at	0.87456278	0.8023888	0.90709956	0.75460187	0.97865947	0.92066793	0.85412952	0.75512132	1.11746334	0.80805357
200671_s_at	0.03100787	0.33183449	0.05752451	0.09384516	-0.05234467	0.27730961	0.10549689	0.06612595	0.21070813	-0.04623857
200672_x_at	0.32218134	0.69367836	0.38887517	0.25810168	0.46383431	0.75302701	0.45996147	0.37845391	0.65388033	0.2641799
200673_at	2.11400687	2.25344397	2.2585426	2.22985743	2.21736585	2.17080261	2.18634134	2.16158424	2.19320156	2.25016494
200674_s_at	3.54939307	3.74306892	3.52900166	4.00841908	3.70786378	3.15995545	3.67249926	3.82964448	3.37101624	3.77431585
200675_at	1.96172341	1.95007624	1.85550785	1.77426249	1.81903173	1.95530179	1.9637199	1.86227404	1.87498748	1.91428187
200676_s_at	0.90070018	0.72456376	0.70439317	0.54299898	0.68883234	0.85449488	0.66175659	0.52764683	0.82564682	0.57612578
200677_at	2.03195526	2.12732657	2.02021058	1.93004367	2.03323671	2.05764307	2.08570858	2.04027313	2.14000761	2.01441978
200678_x_at	1.74320171	1.55108032	1.56447662	1.45130956	1.58507471	1.54012241	1.50224633	1.53206952	1.26196991	1.62067197
200679_x_at	2.19672345	2.62938329	2.43104409	2.21664228	2.39577438	2.30871421	2.44156808	2.46940026	2.36020197	2.27841449
