GSM15785.cel.gz	GSM15786.cel.gz	GSM15787.cel.gz	GSM15788.cel.gz	GSM15789.cel.gz	GSM15790.cel.gz	GSM15791.cel.gz	GSM15792.cel.gz	GSM15794.cel.gz	GSM15795.cel.gz
1007_s_at	0.80936879	0.60621795	0.80249455	0.76947474	0.7010878	0.63485802	0.62607258	0.57390275	0.63454646	0.80287928
1053_at	0.69030178	0.68697376	0.68122992	0.48771491	0.69194217	0.73133588	0.60545092	0.74831221	0.71267201	0.5620646
117_at	0.09028394	0.06968482	0.12554707	-0.01027649	0.09097747	0.01633963	0.03093219	0.06608397	-0.00532342	0.03024094
121_at	0.61218617	0.52064012	0.58413348	0.49390186	0.53308981	0.62279541	0.59035179	0.47734838	0.58083037	0.49980863
1255_g_at	-0.31887872	-0.29017343	-0.32816186	-0.31407735	-0.30247643	-0.3716563	-0.31609534	-0.32796011	-0.28506743	-0.33258863
1294_at	0.08685241	-0.06552698	0.04088301	-0.0160246	0.00587231	0.02490261	-0.02800188	-0.08997218	0.04011942	0.00872
1316_at	0.18177283	0.15385328	0.15356151	0.19539864	0.14497166	0.17561195	0.2179897	0.2162017	0.220214	0.18298491
1320_at	-0.02118426	-0.04663221	0.04283665	-0.05042961	0.00353988	0.07159848	-0.03867581	-0.08436482	0.0454244	-0.04158631
1405_i_at	-0.02607141	-0.08821404	-0.0207212	-0.07686547	-0.02940115	0.01697831	-0.0585311	-0.10100635	0.00726938	-0.06646634
1431_at	-0.16485835	-0.12341155	-0.15522581	-0.12118204	-0.11004536	-0.13092964	-0.16060689	-0.13473751	-0.15775178	-0.14023612
1438_at	-0.03058033	0.00703704	-0.02043309	-0.05627548	-0.06176323	-0.02173442	-0.04043725	-0.05836789	-0.02090591	-0.08770921
1487_at	0.72796258	0.51513043	0.64166219	0.59919215	0.63271547	0.62508657	0.58121243	0.5265471	0.5915716	0.57802508
1494_f_at	0.12049362	0.07441434	0.1220349	0.10885938	0.08229606	0.13296838	0.11254868	0.05917555	0.126445	0.1240601
1598_g_at	0.86501765	0.74029992	0.73453493	0.7276227	0.73546738	0.83415026	0.74900062	0.61416417	0.69716082	0.8663407
160020_at	0.85065751	0.63037018	0.69825498	0.78792399	0.72034735	0.69537411	0.72442782	0.61037456	0.73879138	0.78919258
1729_at	0.31321994	0.17509723	0.23455052	0.21688353	0.20993452	0.32364035	0.18295276	0.09141823	0.28191173	0.15894721
177_at	-0.04990977	-0.11567766	-0.10400724	-0.10947736	-0.08067276	-0.04897371	-0.05498815	-0.08627164	-0.08763226	-0.08108896
1773_at	-0.2458144	-0.0427426	-0.18613263	-0.23043355	-0.12142979	-0.09570134	-0.16811629	-0.24027864	-0.06049254	-0.20730203
179_at	0.40185505	0.4654745	0.38254244	0.35414225	0.42608826	0.40168882	0.40575437	0.32645747	0.4026729	0.31577376
1861_at	-0.32307832	-0.33783302	-0.35218388	-0.37069637	-0.33989808	-0.18465423	-0.32555722	-0.40533752	-0.19535986	-0.38093138
200000_s_at	2.03101019	1.9964669	1.9566228	1.83918788	1.9737451	2.00829208	2.01892083	1.96305588	1.97006203	1.93350228
200001_at	1.79926953	1.7138208	1.84806828	1.60380761	1.81685284	1.75119553	1.7328923	1.61282167	1.6999676	1.77971715
200002_at	3.08389032	3.29001835	3.02502972	3.23624138	3.15780143	2.90253693	3.1387771	3.29785042	3.00258244	3.20585054
200003_s_at	3.35656145	3.42452922	3.32856685	3.69858034	3.43751182	3.02554758	3.40196745	3.53937556	3.13904118	3.5462942
200004_at	2.8026645	2.94686059	2.79381532	2.94768159	3.06698683	2.65008735	2.90497958	2.97448917	2.77083085	2.95987361
200005_at	2.29623238	2.38773497	2.38067856	2.28590285	2.30669763	2.33252497	2.30930445	2.34799082	2.27631774	2.31945887
